,0
0,26.810233478679677
1,7.543337303303815
2,30.213963373832183
3,8.410824000800247
4,23.441812524196482
5,27.633811049796755
6,23.37308002898938
7,23.8085992536441
8,27.43813735628325
9,10.06669569688938
10,24.538677220152426
11,17.921254622693237
12,36.61689584939734
13,14.846039389039769
14,9.87321337005757
15,18.106750644851612
16,6.554255098415711
17,22.101686890662936
18,18.922121146782164
19,38.304457911192316
20,21.681081113992295
21,33.833945601752006
22,27.048819767546544
23,8.498386970787426
24,37.447941683754074
25,36.57774305330054
26,12.04643899270392
27,10.30761756129236
28,37.233071180138026
29,27.22528088607229
30,25.094819146087442
31,22.859832776851746
32,16.152470997438744
33,29.460535113202514
34,33.192284162985636
35,10.641448671384971
36,17.24797032091569
37,34.379492200894816
38,20.409094443140983
39,36.54725490532521
40,23.530963963108043
41,37.58685340831283
42,24.969531534508032
43,26.843818092878426
44,38.31017564313343
45,39.761066746951464
46,34.62169666857648
47,26.371678269426656
48,15.646777312311638
49,23.14297264779616
50,29.64172452043268
51,18.9880279951566
52,31.230537441513945
53,25.29204951535485
54,35.201640220306615
55,10.30761756129236
56,30.86812968341736
57,23.30237407689805
58,20.82697866775528
59,21.241931960356485
60,35.21354513168832
61,10.051916444264322
62,22.56879540288309
63,20.783904102148146
64,38.5217368000532
65,27.601797694877067
66,25.69471420313568
67,21.874960006741677
68,21.289179550202125
69,19.313131500488925
70,31.670267772276485
71,27.076073213486843
72,36.052229894462094
73,18.794619928667657
74,21.977407760150893
75,20.93746761184249
76,27.61350520309278
77,35.52859541116124
78,25.0779327190489
79,31.12836504561627
80,41.03620983298974
81,17.055025297672426
82,37.45015200340244
83,11.307751793096536
84,7.091569165173192
85,17.503635092507746
86,24.76292979330096
87,20.59551536669976
88,13.23768318657168
89,24.042848605834795
90,11.810851288865274
91,26.47828013195597
92,22.116950444841038
93,29.5496237980459
94,29.354250522672007
95,35.6291897795175
96,42.5220538824758
97,35.345590489944
98,7.1196102515718565
99,28.73239036946632
100,27.514850616488058
101,6.778948460221961
102,29.333067561999925
103,36.93493946467389
104,27.218792781972045
105,9.118331813664009
106,23.449827982154932
107,35.340508303463274
108,24.11844045216988
109,40.40777951113871
110,29.645757621160183
111,13.152551671647645
112,30.872019606572845
113,39.53292897878988
114,37.73330470432727
115,24.679705186397783
116,8.54997927847623
117,21.364324615975814
118,38.027316621445166
119,39.89243365092052
120,36.295500295358316
121,35.71942588192146
122,22.85680293192632
123,12.815029167702237
124,27.859269614816803
125,23.097945179614033
126,37.33863307663708
127,12.476086736188844
128,31.04553433985889
129,34.399446114720035
130,8.40772726921025
131,18.431276602722978
132,25.494769666988446
133,29.17549007237488
134,22.382063251647704
135,21.41431834552789
136,37.3849910598079
137,13.02275720087363
138,20.36616855011678
139,28.21837291480915
140,13.170154766030649
141,9.717217313522887
142,28.857563649814853
143,38.43739774642432
144,36.29135955551376
145,31.948040052276223
146,6.74444226547833
147,37.23458747667412
148,9.37746840246617
149,21.879525537185497
150,28.700759718208424
151,27.445466225141573
152,37.786159081723
153,21.35029051540952
154,10.269846156551637
155,27.43015481505661
156,29.044089667281558
157,18.801225811332504
158,34.29717420658777
159,10.8967794319344
160,37.79405652166284
161,9.689214221358185
162,6.587806588175667
163,31.29565707337418
164,20.419579416443607
165,23.46996014732733
166,42.28353879106011
167,12.615881933952078
168,19.154323293841543
169,23.84282539137742
170,8.3177320261158
